tweet_id,user_handle,timestamp,tweet_text,candidate,party,retweets,likes,sentiment
72,@taxReformNow,2024-11-17 09:10:25,"Trump's latest tax reform favors large corporations.",Donald Trump,Republican Party,95,410,negative
73,@sustainableCity,2024-11-17 10:45:10,"Jill Stein's policies aim to make cities more sustainable.",Jill Stein,Green Party,70,225,positive
74,@indieChoice,2024-11-17 11:50:35,"Robert Kennedy's independent stance attracts diverse voters.",Robert Kennedy,Independent,30,115,neutral
75,@libertyValues,2024-11-17 12:30:20,"Chase Oliver's commitment to liberty resonates with many.",Chase Oliver,Libertarian Party,50,175,positive
76,@ecoSupporter,2024-11-18 08:35:20,"Jill Stein's latest environmental initiative is inspiring!",Jill Stein,Green Party,65,220,positive
77,@policyWatcher,2024-11-18 09:05:55,"Kamala Harris is leading effective reforms in education.",Kamala Harris,Democratic Party,80,310,positive
78,@marketLeader,2024-11-18 10:20:50,"Trump's trade policies are boosting American exports.",Donald Trump,Republican Party,90,400,positive
79,@indieVision,2024-11-18 11:40:30,"Robert Kennedy brings new ideas to the political landscape.",Robert Kennedy,Independent,28,105,neutral
80,@libertyAdvocate,2024-11-18 12:50:10,"Chase Oliver's policies on free markets are commendable.",Chase Oliver,Libertarian Party,50,170,positive
81,@user555,2024-11-19 08:25:45,"Kamala Harris is addressing income inequality in her speeches.",Kamala Harris,Democratic Party,80,310,positive
82,@taxPolicyUpdate,2024-11-19 09:40:20,"Trump's tax cuts are benefiting the wealthy disproportionately.",Donald Trump,Republican Party,90,420,negative
83,@sustainableLivingNow,2024-11-19 10:30:35,"Jill Stein promotes electric vehicles to reduce emissions.",Jill Stein,Green Party,65,205,positive
84,@independantView,2024-11-19 11:55:00,"Robert Kennedy's policies are a mix of left and right ideologies.",Robert Kennedy,Independent,22,95,neutral
85,@freedomAdvocate,2024-11-19 12:40:25,"Chase Oliver's economic plans prioritize individual choice.",Chase Oliver,Libertarian Party,45,150,positive
86,@user666,2024-11-20 08:50:10,"Kamala Harris is a beacon of hope for many voters.",Kamala Harris,Democratic Party,95,360,positive
87,@econDebate,2024-11-20 09:15:40,"Trump's approach to trade is leading to new international agreements.",Donald Trump,Republican Party,100,440,neutral
88,@greenEnergy,2024-11-20 10:05:25,"Jill Stein's solar energy plans could revolutionize power grids.",Jill Stein,Green Party,75,240,positive
89,@neutralOpinion,2024-11-20 11:35:50,"Robert Kennedy remains neutral on some key issues, causing uncertainty.",Robert Kennedy,Independent,18,85,neutral
90,@libertyMovement,2024-11-20 12:20:15,"Chase Oliver is building a strong base among libertarian voters.",Chase Oliver,Libertarian Party,40,160,positive
91,@user777,2024-11-21 08:45:30,"Kamala Harris's foreign policy plans are ambitious and detailed.",Kamala Harris,Democratic Party,85,325,positive
92,@policyWatch,2024-11-21 09:30:05,"Trump's healthcare policies are sparking nationwide debates.",Donald Trump,Republican Party,110,460,negative
93,@ecoFriendly,2024-11-21 10:15:40,"Jill Stein is advocating for zero-waste cities.",Jill Stein,Green Party,60,215,positive
94,@indepThoughts,2024-11-21 11:25:30,"Robert Kennedy is focusing on bipartisan solutions.",Robert Kennedy,Independent,25,100,neutral
95,@freedomFighter,2024-11-21 12:35:55,"Chase Oliver supports abolishing the IRS for more freedom.",Chase Oliver,Libertarian Party,35,140,positive
96,@user888,2024-11-22 08:20:50,"Kamala Harris's initiatives on climate change are groundbreaking.",Kamala Harris,Democratic Party,90,340,positive
97,@taxReform,2024-11-22 09:10:25,"Trump's latest tax reform favors large corporations.",Donald Trump,Republican Party,95,410,negative
98,@sustainableFuture,2024-11-22 10:45:10,"Jill Stein's policies aim to make cities more sustainable.",Jill Stein,Green Party,70,225,positive
99,@indieChoice,2024-11-22 11:50:35,"Robert Kennedy's independent stance attracts diverse voters.",Robert Kennedy,Independent,30,115,neutral
100,@libertyValues,2024-11-22 12:30:20,"Chase Oliver's commitment to liberty resonates with many.",Chase Oliver,Libertarian Party,50,175,positive  
101,@user999,2024-11-23 08:30:10,"Kamala Harris is championing affordable education for all.",Kamala Harris,Democratic Party,85,350,positive
102,@policyGuru,2024-11-23 09:15:45,"Trump's immigration policies are sparking national conversations.",Donald Trump,Republican Party,95,420,neutral
103,@greenAdvocate2,2024-11-23 10:05:30,"Jill Stein's commitment to renewable energy is inspiring.",Jill Stein,Green Party,70,230,positive
104,@indieVoice2,2024-11-23 11:25:20,"Robert Kennedy is bringing fresh ideas to the independent race.",Robert Kennedy,Independent,30,110,neutral
105,@libertyFan,2024-11-23 12:40:55,"Chase Oliver's policies on tax reduction are gaining traction.",Chase Oliver,Libertarian Party,50,180,positive
106,@user1000,2024-11-24 08:45:00,"Kamala Harris is working tirelessly on climate legislation.",Kamala Harris,Democratic Party,90,360,positive
107,@econExpert,2024-11-24 09:20:35,"Trump's economic strategies are a double-edged sword.",Donald Trump,Republican Party,100,440,neutral
108,@ecoWarrior2,2024-11-24 10:15:25,"Jill Stein's plan for sustainable cities is ahead of its time.",Jill Stein,Green Party,75,240,positive
109,@neutralMind,2024-11-24 11:50:10,"Robert Kennedy remains a wildcard in this election.",Robert Kennedy,Independent,25,100,neutral
110,@freedomFirst2,2024-11-24 12:55:35,"Chase Oliver advocates for complete government deregulation.",Chase Oliver,Libertarian Party,45,160,positive
111,@user1001,2024-11-25 08:30:20,"Kamala Harris is bridging gaps in healthcare access.",Kamala Harris,Democratic Party,80,310,positive
112,@taxTalk2,2024-11-25 09:10:55,"Trump's latest tax plan favors the upper class.",Donald Trump,Republican Party,90,420,negative
113,@sustainability2,2024-11-25 10:25:15,"Jill Stein is pushing for electric public transportation.",Jill Stein,Green Party,65,205,positive
114,@indepThought3,2024-11-25 11:35:00,"Robert Kennedy's independent run is shaking things up.",Robert Kennedy,Independent,22,95,neutral
115,@libertySeek2,2024-11-25 12:45:30,"Chase Oliver's focus on personal freedom is resonating with voters.",Chase Oliver,Libertarian Party,40,150,positive
116,@user1002,2024-11-26 08:55:10,"Kamala Harris is making significant progress in infrastructure development.",Kamala Harris,Democratic Party,85,325,positive
117,@businessInsider2,2024-11-26 09:20:45,"Trump's deregulation policies are controversial among experts.",Donald Trump,Republican Party,100,450,neutral
118,@greenFuture2,2024-11-26 10:40:30,"Jill Stein's focus on green technology is commendable.",Jill Stein,Green Party,60,210,positive
119,@watchingNow2,2024-11-26 11:50:20,"Robert Kennedy's policies appeal to a broad spectrum of voters.",Robert Kennedy,Independent,28,105,neutral
120,@freeMarket2,2024-11-26 12:30:50,"Chase Oliver supports free-market solutions for education reform.",Chase Oliver,Libertarian Party,50,170,positive
121,@user1003,2024-11-27 08:40:15,"Kamala Harris is dedicated to reducing student loan debt.",Kamala Harris,Democratic Party,85,330,positive
122,@policyMaker2,2024-11-27 09:30:50,"Trump's stance on trade tariffs is affecting international relations.",Donald Trump,Republican Party,105,470,negative
123,@ecoSupport2,2024-11-27 10:10:40,"Jill Stein's initiatives for green jobs are creating opportunities.",Jill Stein,Green Party,60,210,positive
124,@neutralThoughts2,2024-11-27 11:25:50,"Robert Kennedy's platform lacks clarity on key issues.",Robert Kennedy,Independent,20,90,neutral
125,@freedomVoice2,2024-11-27 12:15:25,"Chase Oliver emphasizes the importance of individual liberties.",Chase Oliver,Libertarian Party,35,130,positive
126,@user1004,2024-11-28 08:35:30,"Kamala Harris continues to advocate for affordable housing solutions.",Kamala Harris,Democratic Party,75,290,positive
127,@marketWatch2,2024-11-28 09:05:55,"Trump's economic policies are under scrutiny from various sectors.",Donald Trump,Republican Party,115,480,neutral
128,@greenInitiative2,2024-11-28 10:20:45,"Jill Stein is leading the charge on climate change legislation.",Jill Stein,Green Party,70,230,positive
129,@indieSupport2,2024-11-28 11:40:35,"Robert Kennedy offers a unique perspective outside the mainstream parties.",Robert Kennedy,Independent,28,105,neutral
130,@libertyRights2,2024-11-28 12:50:20,"Chase Oliver advocates for the protection of gun rights.",Chase Oliver,Libertarian Party,50,170,positive
131,@user1005,2024-11-29 08:25:55,"Kamala Harris is addressing wage gaps in her latest policy proposal.",Kamala Harris,Democratic Party,80,310,positive
132,@taxPolicy2,2024-11-29 09:40:30,"Trump's tax cuts are criticized for benefiting the wealthy.",Donald Trump,Republican Party,90,420,negative
133,@sustainableLiving2,2024-11-29 10:30:50,"Jill Stein promotes the adoption of electric vehicles to combat pollution.",Jill Stein,Green Party,65,205,positive
134,@independantView2,2024-11-29 11:55:15,"Robert Kennedy's policies blend elements from both major parties.",Robert Kennedy,Independent,22,95,neutral
135,@freedomAdvocate2,2024-11-29 12:40:35,"Chase Oliver's economic plans focus on reducing government intervention.",Chase Oliver,Libertarian Party,45,150,positive
136,@user1006,2024-11-30 08:50:25,"Kamala Harris is a beacon of hope for progressive voters.",Kamala Harris,Democratic Party,95,360,positive
137,@econDebate2,2024-11-30 09:15:50,"Trump's trade policies are reshaping global markets.",Donald Trump,Republican Party,100,440,neutral
138,@greenEnergy2,2024-11-30 10:05:40,"Jill Stein's solar energy initiatives could transform the power industry.",Jill Stein,Green Party,75,240,positive
139,@neutralOpinion2,2024-11-30 11:35:25,"Robert Kennedy remains non-committal on several key issues.",Robert Kennedy,Independent,18,85,neutral
140,@libertyMovement2,2024-11-30 12:20:35,"Chase Oliver is gaining support among young libertarians.",Chase Oliver,Libertarian Party,40,160,positive
141,@user1007,2024-12-01 08:45:40,"Kamala Harris's foreign policy is gaining international attention.",Kamala Harris,Democratic Party,85,325,positive
142,@policyWatch2,2024-12-01 09:30:15,"Trump's healthcare policies are facing backlash from multiple fronts.",Donald Trump,Republican Party,110,460,negative
143,@ecoFriendly2,2024-12-01 10:15:55,"Jill Stein is pushing for zero-waste initiatives in urban areas.",Jill Stein,Green Party,60,215,positive
144,@indepThoughts2,2024-12-01 11:25:45,"Robert Kennedy is emphasizing bipartisan cooperation in his campaign.",Robert Kennedy,Independent,25,100,neutral
145,@freedomFighter2,2024-12-01 12:35:25,"Chase Oliver supports eliminating the IRS to increase personal freedoms.",Chase Oliver,Libertarian Party,35,140,positive
146,@user1008,2024-12-02 08:20:55,"Kamala Harris's climate initiatives are setting new standards.",Kamala Harris,Democratic Party,90,340,positive
147,@taxReform2,2024-12-02 09:10:50,"Trump's latest tax reforms are criticized for favoring large businesses.",Donald Trump,Republican Party,95,410,negative
148,@sustainableFuture2,2024-12-02 10:45:25,"Jill Stein aims to make cities more eco-friendly with her new policies.",Jill Stein,Green Party,70,225,positive
149,@indieChoice2,2024-12-02 11:50:40,"Robert Kennedy's independent run is attracting a diverse voter base.",Robert Kennedy,Independent,30,115,neutral
150,@libertyValues2,2024-12-02 12:30:35,"Chase Oliver's dedication to liberty is winning him loyal supporters.",Chase Oliver,Libertarian Party,50,175,positive
151,@ecoChampion2,2024-12-03 08:30:10,"Jill Stein's new recycling initiative is receiving widespread praise.",Jill Stein,Green Party,65,220,positive
152,@policyPro2,2024-12-03 09:15:50,"Kamala Harris is rolling out new education reforms aimed at inclusivity.",Kamala Harris,Democratic Party,80,310,positive
153,@marketMover2,2024-12-03 10:05:35,"Trump's trade agreements are boosting certain American industries.",Donald Trump,Republican Party,90,400,positive
154,@indieInsight2,2024-12-03 11:45:25,"Robert Kennedy is working to unite various voter factions.",Robert Kennedy,Independent,28,105,neutral
155,@libertyVoice2,2024-12-03 12:50:50,"Chase Oliver's advocacy for free speech is gaining momentum.",Chase Oliver,Libertarian Party,50,170,positive
156,@user1009,2024-12-04 08:25:20,"Kamala Harris's healthcare policies are making significant impacts.",Kamala Harris,Democratic Party,85,330,positive
157,@taxWise2,2024-12-04 09:40:55,"Trump's tax reforms are encouraging business investments.",Donald Trump,Republican Party,95,420,positive
158,@greenVision2,2024-12-04 10:30:40,"Jill Stein envisions a sustainable future with green technologies.",Jill Stein,Green Party,70,230,positive
159,@neutralPulse2,2024-12-04 11:55:15,"Robert Kennedy maintains a balanced stance on controversial issues.",Robert Kennedy,Independent,22,95,neutral
160,@freedomAdvocacy2,2024-12-04 12:40:45,"Chase Oliver is a strong advocate for individual rights and freedoms.",Chase Oliver,Libertarian Party,45,150,positive
161,@user1010,2024-12-05 08:50:30,"Kamala Harris is a symbol of progressive leadership.",Kamala Harris,Democratic Party,95,360,positive
162,@econTalk2,2024-12-05 09:15:55,"Trump's economic strategies are showing mixed results.",Donald Trump,Republican Party,100,440,neutral
163,@greenFutureNow2,2024-12-05 10:05:30,"Jill Stein's solar projects are leading the way in renewable energy.",Jill Stein,Green Party,75,240,positive
164,@indiePerspective2,2024-12-05 11:35:25,"Robert Kennedy offers pragmatic solutions outside the party lines.",Robert Kennedy,Independent,18,85,neutral
165,@libertyMovement3,2024-12-05 12:20:45,"Chase Oliver is expanding his base among libertarian voters.",Chase Oliver,Libertarian Party,40,160,positive
166,@user1011,2024-12-06 08:45:35,"Kamala Harris's foreign policy is earning international acclaim.",Kamala Harris,Democratic Party,85,325,positive
167,@policyDebate2,2024-12-06 09:30:20,"Trump's healthcare policies continue to divide public opinion.",Donald Trump,Republican Party,110,460,negative
168,@ecoFriendlyLiving2,2024-12-06 10:15:50,"Jill Stein is pushing for zero-waste initiatives in all major cities.",Jill Stein,Green Party,60,215,positive
169,@indepThoughts3,2024-12-06 11:25:40,"Robert Kennedy is committed to bipartisan solutions.",Robert Kennedy,Independent,25,100,neutral
170,@freedomFighter3,2024-12-06 12:35:30,"Chase Oliver advocates for eliminating unnecessary government agencies.",Chase Oliver,Libertarian Party,35,140,positive
171,@user1012,2024-12-07 08:20:55,"Kamala Harris's climate initiatives are setting new benchmarks.",Kamala Harris,Democratic Party,90,340,positive
172,@taxReform3,2024-12-07 09:10:40,"Trump's latest tax reforms are under heavy criticism.",Donald Trump,Republican Party,95,410,negative
173,@sustainableFuture3,2024-12-07 10:45:35,"Jill Stein's policies aim to create sustainable urban environments.",Jill Stein,Green Party,70,225,positive
174,@indieChoice3,2024-12-07 11:50:50,"Robert Kennedy's independent stance is attracting a wide range of voters.",Robert Kennedy,Independent,30,115,neutral
175,@libertyValues3,2024-12-07 12:30:40,"Chase Oliver's dedication to liberty is winning hearts.",Chase Oliver,Libertarian Party,50,175,positive
176,@ecoSupporter2,2024-12-08 08:35:25,"Jill Stein's latest environmental initiative is making waves.",Jill Stein,Green Party,65,220,positive
177,@policyWatcher2,2024-12-08 09:05:40,"Kamala Harris is leading comprehensive education reforms.",Kamala Harris,Democratic Party,80,310,positive
178,@marketLeader2,2024-12-08 10:20:35,"Trump's trade policies are boosting American manufacturing.",Donald Trump,Republican Party,90,400,positive
179,@indieVision2,2024-12-08 11:40:45,"Robert Kennedy brings innovative ideas to the forefront.",Robert Kennedy,Independent,28,105,neutral
180,@libertyAdvocate2,2024-12-08 12:50:25,"Chase Oliver's free market policies are gaining support.",Chase Oliver,Libertarian Party,50,170,positive
181,@user1013,2024-12-09 08:25:50,"Kamala Harris is addressing systemic inequality in her new policies.",Kamala Harris,Democratic Party,80,310,positive
182,@taxPolicyUpdate2,2024-12-09 09:40:35,"Trump's tax cuts are seen as favoring the wealthy.",Donald Trump,Republican Party,90,420,negative
183,@sustainableLiving3,2024-12-09 10:30:50,"Jill Stein promotes the use of electric vehicles to lower emissions.",Jill Stein,Green Party,65,205,positive
184,@independantView3,2024-12-09 11:55:20,"Robert Kennedy's policies blend diverse ideological perspectives.",Robert Kennedy,Independent,22,95,neutral
185,@freedomAdvocate3,2024-12-09 12:40:50,"Chase Oliver's economic plans focus on maximizing individual choice.",Chase Oliver,Libertarian Party,45,150,positive
186,@user1014,2024-12-10 08:50:40,"Kamala Harris continues to inspire with her leadership.",Kamala Harris,Democratic Party,95,360,positive
187,@econDebate3,2024-12-10 09:15:30,"Trump's trade approach is creating new international dynamics.",Donald Trump,Republican Party,100,440,neutral
188,@greenEnergy3,2024-12-10 10:05:50,"Jill Stein's solar energy plans are set to revolutionize the sector.",Jill Stein,Green Party,75,240,positive
189,@neutralOpinion3,2024-12-10 11:35:35,"Robert Kennedy remains neutral on several contentious issues.",Robert Kennedy,Independent,18,85,neutral
190,@libertyMovement4,2024-12-10 12:20:45,"Chase Oliver is strengthening his support among libertarians.",Chase Oliver,Libertarian Party,40,160,positive
191,@user1015,2024-12-11 08:45:55,"Kamala Harris's foreign policy initiatives are gaining global recognition.",Kamala Harris,Democratic Party,85,325,positive
192,@policyWatch3,2024-12-11 09:30:25,"Trump's healthcare policies continue to divide the nation.",Donald Trump,Republican Party,110,460,negative
193,@ecoFriendly3,2024-12-11 10:15:35,"Jill Stein is advocating for zero-waste cities nationwide.",Jill Stein,Green Party,60,215,positive
194,@indepThoughts4,2024-12-11 11:25:50,"Robert Kennedy is emphasizing the need for bipartisan cooperation.",Robert Kennedy,Independent,25,100,neutral
195,@freedomFighter4,2024-12-11 12:35:40,"Chase Oliver supports eliminating the IRS to enhance personal freedoms.",Chase Oliver,Libertarian Party,35,140,positive
196,@user1016,2024-12-12 08:20:35,"Kamala Harris's climate change initiatives are setting new goals.",Kamala Harris,Democratic Party,90,340,positive
197,@taxReform4,2024-12-12 09:10:50,"Trump's latest tax reforms are criticized for corporate favoritism.",Donald Trump,Republican Party,95,410,negative
198,@sustainableFuture4,2024-12-12 10:45:40,"Jill Stein's policies aim to make urban areas more sustainable.",Jill Stein,Green Party,70,225,positive
199,@indieChoice4,2024-12-12 11:50:55,"Robert Kennedy's independent stance is attracting a diverse electorate.",Robert Kennedy,Independent,30,115,neutral
200,@libertyValues4,2024-12-12 12:30:45,"Chase Oliver's commitment to liberty is resonating with many voters.",Chase Oliver,Libertarian Party,50,175,positive
201,@user1017,2024-12-13 08:30:10,"Kamala Harris is pushing for comprehensive healthcare reforms.",Kamala Harris,Democratic Party,85,325,positive
202,@policyGuru2,2024-12-13 09:15:45,"Trump's immigration stance is causing widespread debates.",Donald Trump,Republican Party,95,420,neutral
203,@greenAdvocate3,2024-12-13 10:05:30,"Jill Stein's renewable energy initiatives are gaining traction.",Jill Stein,Green Party,70,230,positive
204,@indieVoice3,2024-12-13 11:25:20,"Robert Kennedy is introducing innovative policies as an independent.",Robert Kennedy,Independent,30,110,neutral
205,@libertyFan2,2024-12-13 12:40:55,"Chase Oliver's tax reduction policies are attracting support.",Chase Oliver,Libertarian Party,50,180,positive
206,@user1018,2024-12-14 08:45:00,"Kamala Harris advocates for mental health awareness.",Kamala Harris,Democratic Party,90,360,positive
207,@econExpert2,2024-12-14 09:20:35,"Trump's economic strategies are a topic of heated discussions.",Donald Trump,Republican Party,100,440,neutral
